Product Name,Details,Price (ETB),Stock Status
MacBook Air M2,"Laptop - 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, Midnight color","145,000",In Stock
Dell XPS 13 Plus,"Laptop - 13.4-inch OLED Touch, 16GB RAM, 512GB SSD, Graphite","165,000",In Stock
HP Spectre x360,"Laptop - 2-in-1 Laptop, 16GB RAM, 1TB SSD, Nightfall Black","130,000",Low Stock
Logitech MX Master 3S,"Accessory - Performance Wireless Mouse, Ultra-fast scrolling, 8K DPI tracking","12,500",In Stock
Samsung T7 Shield 1TB,"Accessory - Portable SSD, Rugged, IP65 Water/Dust Resistant, Black","18,000",In Stock
Apple Magic Keyboard,"Accessory - Wireless Keyboard with Touch ID, English (US)","22,000",In Stock
Lenovo ThinkPad X1 Carbon,"Laptop - Gen 10, i7-1260P, 16GB RAM, 512GB SSD, Deep Black","155,000",Out of Stock
Asus ROG Zephyrus G14,"Gaming Laptop - AMD Ryzen 9, RX 6700S, 16GB RAM, 1TB SSD, 120Hz display","140,000",In Stock
HDMI Cable 4K,"Cable - High Speed HDMI 2.0 Cable, 3 Meter, Braided","850",In Stock
USB-C Hub 7-in-1,"Accessory - 4K HDMI, 3 USB 3.0 Ports, SD/TF Card Reader, 100W PD Pass-Through","4,500",In Stock